id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00001,"Colorado, middle of nowhere.",0,1,0,0,1
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_00016,I remember being scared shitless.,0,1,0,0,0
eng_train_track_a_00017,That was the last time anyone saw her.,0,1,0,1,0
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,1,0,0,1
eng_train_track_a_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1
eng_train_track_a_00045,It was one of the most spiritual moments of my life.,0,0,1,0,1
eng_train_track_a_00069,asked a flustered girl that bumped into my arm.,0,1,0,0,0
eng_train_track_a_00076,"About 3 years ago I had a very vivid dream about my deceased aunt and uncle, Sylvia &amp; John.",0,0,0,1,1
eng_train_track_a_00096,And these were brutal wounds.,1,1,0,1,1
eng_train_track_a_00117,But I spent two days reading and still didn't hit the end of this thread.,1,1,0,0,1
eng_train_track_a_00129,The nightmares and fear were new and inexplicable.,0,1,0,1,1
eng_train_track_a_00131,"The kissing and touching don't stop, they just get more... interesting.",0,0,1,0,1
eng_train_track_a_00134,We are earths last hope against extinction.,0,1,0,1,1
eng_train_track_a_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_a_00145,"What came out of my mouth was: ""Because white reigns supreme.",1,1,0,1,1
eng_train_track_a_00147,as i go to take the hook out of my 4th fish... it shakes and embeds the hook in my hand.,1,1,0,1,1
eng_train_track_a_00153,`` My God $ '' `` What's wrong with my arm? '',0,1,0,0,1
eng_train_track_a_00154,Could be wrong though.,0,1,0,0,0
eng_train_track_a_00159,I was scared shitless.,0,1,0,0,1
eng_train_track_a_00162,"I fell out of a tree earlier today, and landed on my head after about an eight foot drop onto concrete.",0,1,0,1,1
eng_train_track_a_00165,"the next thing i knew, i felt this huge impact on my head, and then a few more after that.",0,1,0,0,1
eng_train_track_a_00166,"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
eng_train_track_a_00168,They seemed quit some distance away from me.,0,1,0,0,0
eng_train_track_a_00176,"We could have been part of organized crime, but my grandpa (who died before I was born) didn't want any part of it and decided to live an honest life.",0,0,1,1,1
eng_train_track_a_00182,"This is typical, as they need to justify their existence.",1,0,0,0,0
eng_train_track_a_00202,"Not moving, not menacing.",0,1,0,0,0
eng_train_track_a_00222,"She claimed I beat her, raped her, tortured, and abused her.",1,1,0,1,1
eng_train_track_a_00230,"Staring down at the device, I felt this cold chill start at the base of my neck and spread throughout my body.",0,1,0,0,1
eng_train_track_a_00231,It was funny because I thought I broke my arm.,0,1,1,0,1
eng_train_track_a_00232,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,1,0,1,1
eng_train_track_a_00238,My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,0,1,0,0,1
eng_train_track_a_00242,"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",0,1,0,0,0
eng_train_track_a_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_a_00268,"I pulled it up, still heard the gushing sound, so I turned my head, and the other one stopped immediately.",0,1,0,0,0
eng_train_track_a_00280,I felt a gun pressed against my forehead and looked up.,0,1,0,0,1
eng_train_track_a_00281,Threw my underwear away in their kitchen garbage.,0,1,0,0,1
