id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00011,It's his reflection.,0,0,0,0,1
eng_train_track_a_00013,"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",0,0,1,0,0
eng_train_track_a_00020,I didn't see any light yet it still seemed to glow.,0,1,0,0,1
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,1,0,0
eng_train_track_a_00045,It was one of the most spiritual moments of my life.,0,0,1,0,1
eng_train_track_a_00053,It felt so unreal...,0,1,0,0,1
eng_train_track_a_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0
eng_train_track_a_00080,I was never so happy to have my feet on solid ground though.,0,0,1,0,0
eng_train_track_a_00082,I always like to head out into the boonies after I have been away for a long time... to get my head straight.,0,0,1,0,0
eng_train_track_a_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0
eng_train_track_a_00099,"However, I made sure to take a few swishes of water just so my mouth felt like it got a lot of moisture.",0,0,1,0,0
eng_train_track_a_00102,The silence cupped my ears where it was all I could see and hear.,0,1,0,1,0
eng_train_track_a_00106,It was the dance of my heart.,0,0,1,0,0
eng_train_track_a_00109,"I feel like my stomach's had a growth spurt, which leaves me aching and sore.",0,1,0,1,0
eng_train_track_a_00118,"But I was feeling really nervous, and my hands were sweaty.",0,1,0,0,0
eng_train_track_a_00123,"I did as much time as I could on my feet for closing gate, but had to sit for stretch before cannon.",0,1,0,0,0
eng_train_track_a_00124,"The weather up there are super cozy, I went to wash my hand, the water are freezing!!!",0,1,0,0,0
eng_train_track_a_00137,Fast forward six months - I've moved to central Virginia for work.,0,0,1,0,0
eng_train_track_a_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_a_00144,Not creepy but ghostly.,0,1,0,0,1
eng_train_track_a_00158,My mouth by then like cardboard.,0,0,0,0,0
eng_train_track_a_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,1,0,0
eng_train_track_a_00181,"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.",0,1,0,1,0
eng_train_track_a_00187,Blotted out the moon.,0,1,0,0,1
eng_train_track_a_00191,With sudden resolution I took my hands from the rail.,0,0,0,0,0
eng_train_track_a_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00198,"Stuck in this place, With the world rushing by, Tears stream down my face, As I stand here, waiting to die.",0,1,0,1,0
eng_train_track_a_00199,the cold outside feels so good on my skin.,0,0,1,0,0
eng_train_track_a_00200,Several times in the last couple weeks I've had to scratch my head cleverly for a few minutes trying to figure out how to get into my office.,0,1,0,0,0
eng_train_track_a_00204,A rather regular occurrence happened at night upstairs.,0,1,0,0,0
eng_train_track_a_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_a_00208,It felt so real that I actually woke up.,0,1,0,0,1
eng_train_track_a_00214,But it was good; it kept me on my feet for a long while.Knee?,0,0,1,0,0
eng_train_track_a_00219,"As I was placing them in the `` to be thrown out '' pile, something caught my eye and made me look closer.",0,0,0,0,1
eng_train_track_a_00226,I fell asleep with visions of 5 grand dancing in my head.,0,0,1,0,0
eng_train_track_a_00232,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,1,0,1,1
eng_train_track_a_00234,My heart melted.,0,0,1,0,0
eng_train_track_a_00244,For dessert and coffee we went to another cafe down the street.,0,0,1,0,0
eng_train_track_a_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_a_00250,"My head poked out of the grass again, catching sight of the men nearing my position, only about fifteen yards.",0,1,0,1,0
eng_train_track_a_00258,"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",0,0,0,1,0
eng_train_track_a_00265,I stopped a couple times to stretch out my calves and quads.,0,0,0,0,0
eng_train_track_a_00289,"So many people from my family have seen someone in the reflection, always in the same place, matching the same description.",0,1,0,0,1
eng_train_track_a_00297,"X-rays do not show soft tissue damage, and I knew my bones were fine.",0,0,0,0,0
eng_train_track_a_00310,"My limbs wouldn't move properly then, nothingness.",0,1,0,1,0
eng_train_track_a_00326,Then it began to snow... hard.,0,1,0,0,1
eng_train_track_a_00334,"Additionally, there was snow on the ground outside, but we found no footprints around the house and no mud or water in the kitchen where the intruder had been walking.",0,1,0,0,1
eng_train_track_a_00343,Be still my heart.,0,0,1,0,1
eng_train_track_a_00345,"I also remember the chandelier campfires, and it was what inspired me for almost a year to tape pieces of mirror under my eyes so I could pretend I was walking on the ceilings ( though I always got a bit freaked out when I walked outside ).",0,1,0,0,0
eng_train_track_a_00346,I closed my eyes and more tears glided down my cheeks.,0,0,0,1,0
eng_train_track_a_00355,"My shoulder ached but moved all right, and I felt a tightness on my neck.",0,1,0,0,0
eng_train_track_a_00363,It leaves both my hands free to be able to type.,0,0,1,0,0
eng_train_track_a_00381,"It wasn't easy, I told myself; I was running short of breaths and I believed my face was red and then pale ( or was it the other way round? )",0,1,0,1,0
eng_train_track_a_00382,I put my hands over my face and went back into my room.,0,1,0,1,0
eng_train_track_a_00394,So I go to the doctor and I tell him about getting the sharp pain in my back and how that hasn't gone away and how my hand is numb.,0,1,0,0,0
eng_train_track_a_00396,The children felt like they were being told telepathically that there was great danger ahead.,0,1,0,0,1
eng_train_track_a_00410,"Nobody had lived there in a very, very long time.",0,1,0,1,1
eng_train_track_a_00426,My grandfather was a keen hunter.,0,0,0,0,0
eng_train_track_a_00470,"My latest conquest, so proud they'd be.",0,0,1,0,0
eng_train_track_a_00473,"My mouth gets dry, I feel like I'm not breathing, my heart is beating too fast, and then my legs start spasming ( shaking just doesn't seem to be the right word ).",0,1,0,0,0
eng_train_track_a_00488,"No footprints in the snow, no houses, nothing.",0,1,0,1,1
eng_train_track_a_00517,I was wearing 45spf sunscreen and I still got some colour on my forearms.,0,1,0,0,0
eng_train_track_a_00529,I tried to understand the thoughts and mixed emotions that were running through my head.,0,1,0,0,0
eng_train_track_a_00533,"I could see the texture of the paint on the wall beside my head, and the texture of the fake wood closet doors, the cradle beneath the window.",0,0,0,0,0
eng_train_track_a_00551,"I think I watched the last 20 laps holding my breath, and the last ten with my hands over my eyes.",0,1,0,0,0
eng_train_track_a_00554,"Now I'm awake, the knot is gone but my muscles are sore and I still have to make a conscious effort to relax or the pain comes back a little.",0,1,0,0,0
eng_train_track_a_00559,My heart sank.,0,0,0,1,0
eng_train_track_a_00570,My sleepy head forced me to sleep and my eyelids felt very heavy that I had to surrender and doze off.,0,0,0,0,0
eng_train_track_a_00582,My parents took me up there for my 16th birthday.,0,0,1,0,0
eng_train_track_a_00587,In the eastern States right up to my neck of the woods in Canada.,0,0,0,0,0
eng_train_track_a_00588,So it's been hanging over my head.,0,1,0,1,1
eng_train_track_a_00603,"It was a perfectly clear night, and I mean like we could see the Milky Way.",0,0,1,0,1
eng_train_track_a_00611,"I suppose I could put a piece of my heart in there, too, since our children are exactly that, aren't they?",0,0,0,0,0
eng_train_track_a_00622,"But here I am sitting at my computer at work, when I begin to relive the whole episode over in my head.",0,1,0,1,0
eng_train_track_a_00623,"The sun seems brighter on those mornings, head clearer, mind sharper, expertly spreading happiness with my eyes.",0,0,1,0,0
eng_train_track_a_00630,"Leaning my head back into the basin, I close my eyes and as the young girl behind me streams hot water through my hair, I feel the jangling tension slowly subsiding inside my body.",0,0,1,0,0
eng_train_track_a_00633,"I saw that, too.",0,0,0,0,1
eng_train_track_a_00638,"Suddenly, this bright white flashing light goes off.",0,1,0,0,1
eng_train_track_a_00639,"I sat up, turned, and saw two glowing green eyes.",0,1,0,0,1
eng_train_track_a_00710,I guess those 3 beers I drank down at 6 went straight to my head.,0,0,1,0,0
eng_train_track_a_00730,Then things get weird.,0,1,0,0,1
eng_train_track_a_00742,I can even lift my arms above my head.,0,0,1,0,0
eng_train_track_a_00743,I want to do more with my brain and experience more of what it is capable of.,0,0,1,0,0
eng_train_track_a_00749,"I thought we were going to go into a different lane about 10 different times, and once I ended up going backwards down the hill on my stomach.",0,1,0,0,1
eng_train_track_a_00751,"Without a sensible thought in my head, I got out of the car.",0,1,0,0,0
eng_train_track_a_00752,I'm going to write now that my fingers are numb from typing this all.,0,1,0,0,0
eng_train_track_a_00758,I was eating at an Ethiopian cafe the other day.,0,0,1,0,0
eng_train_track_a_00767,"sleepless nights are so evident on my face, even a cake of foundation and concealer can not hide = ( massive eyebags and bad tired skin.",0,0,0,1,0
eng_train_track_a_00773,"None of us had... And then, years later my brain had changed, quite immensely.",0,0,0,0,0
eng_train_track_a_00774,But then it got so hot I opened it and welcomed the cold spray on my face.,0,0,1,0,1
eng_train_track_a_00782,A very similar story happened to my grandmother.,0,0,0,0,1
eng_train_track_a_00788,"After those few seconds, I waved one hand at it in a friendly manner, it then changed light pattern and hovered away behind my house.",0,1,1,0,1
eng_train_track_a_00798,"I'm still sick, my nose is sore from blowing it all day, and it's wicked hot in the apartment.",0,1,0,1,0
eng_train_track_a_00811,I grinned looking at the saddened Ceres from the corner of my eye.,0,0,1,0,0
eng_train_track_a_00820,My cheeks burned with fever.,0,1,0,0,0
eng_train_track_a_00834,"My shoulder, neck and wrist have started aching all the time.",0,1,0,1,0
eng_train_track_a_00872,This was right before sunset when we got in bed and I instantly fell asleep.,0,0,1,0,0
eng_train_track_a_00885,"Prior to, we got some humongous popsicles which turned my tongue an amazing shade of blue, and we visited the children's A&S display.",0,0,1,0,0
eng_train_track_a_00891,Eight inches here Nine inches there My feet in the snow.,0,1,0,0,0
eng_train_track_a_00928,Prior to the opening of the hunting season in the autumn (when the whole hunting collective/club goes to hunt together) we go hunting alone.,0,1,0,0,0
eng_train_track_a_00934,I've never had my cheeks hurt so much from laughing and / or smiling.,0,0,1,0,0
eng_train_track_a_00936,"`` I had to think about that for a second, and do the math in my head.",0,1,0,0,0
eng_train_track_a_00941,I go to her pictures and see the image of what was in my head right there in front of me...,0,0,1,0,1
eng_train_track_a_00946,I closed my eyes and felt the elements around me.,0,0,1,0,0
eng_train_track_a_00953,"Arms back, chin down.",0,1,0,0,0
eng_train_track_a_00956,"Fast forward-I was 21, and living in my first apartment.",0,0,1,0,0
eng_train_track_a_00966,"A strangely calming breeze crosses my face and shoulders, mysteriously skipping right over my legs.",0,0,1,0,0
eng_train_track_a_00978,in a rather large company.,0,0,0,0,0
eng_train_track_a_00982,He was convinced that his grandpa was still alive or whatever.,0,1,0,1,1
eng_train_track_a_00991,"During my first season, I was playing a game on my birthday.",0,0,1,0,0
eng_train_track_a_01000,Almost at the instant that the first drop of sweat popped out on my head I had the weirdest experience.,0,1,0,0,1
eng_train_track_a_01002,"After we were done, I could barely even move my fingers and I think I am going to be sick in a few days.",0,1,0,1,0
eng_train_track_a_01003,Dove brought me a nice glass of ice water and the bottle of the pain pills and an ice pack for my hand.,0,1,0,0,0
