id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00002,This involved swimming a pretty large lake that was over my head.,0,1,0,0,0
eng_train_track_a_00010,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,0,0,1,0,0
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0
eng_train_track_a_00055,All of it on top of my head.,0,1,0,0,0
eng_train_track_a_00066,"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",0,0,1,0,1
eng_train_track_a_00078,`` I went to put my hand in my pockets and realised what they'd done.,0,1,0,0,0
eng_train_track_a_00085,I guess i pointed to Jenny without hesitation.,0,0,0,0,0
eng_train_track_a_00093,"Needless to say, I turned her down.",0,0,0,0,0
eng_train_track_a_00101,""" ""look... out your window.",0,0,0,0,1
eng_train_track_a_00108,I thought it was a joke.,0,1,0,0,1
eng_train_track_a_00113,"She was rude to our photographer, she was rude to a few guests, and to us.",1,0,0,0,0
eng_train_track_a_00120,Then the cop shows up.,0,1,0,0,1
eng_train_track_a_00122,"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,1,0,0,0
eng_train_track_a_00128,My heart beat so fast when the beautiful man give Yunho a peck on his left cheek.,0,1,1,0,0
eng_train_track_a_00135,Went to a party at a friends house.,0,0,1,0,0
eng_train_track_a_00148,I saw peppermint patties.,0,0,1,0,1
eng_train_track_a_00153,`` My God $ '' `` What's wrong with my arm? '',0,1,0,0,1
eng_train_track_a_00157,"She opened the door of the moving vehicle, jumped out, and landed on her feet.",0,1,1,0,1
eng_train_track_a_00163,"But well need large plastic bags, I dont know where to get those.",0,1,0,0,0
eng_train_track_a_00166,"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
eng_train_track_a_00174,You know the ones?,0,0,0,0,1
eng_train_track_a_00197,"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",0,0,1,0,0
eng_train_track_a_00214,But it was good; it kept me on my feet for a long while.Knee?,0,0,1,0,0
eng_train_track_a_00226,I fell asleep with visions of 5 grand dancing in my head.,0,0,1,0,0
eng_train_track_a_00238,My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,0,1,0,0,1
eng_train_track_a_00242,"I jumped up frantically ( the receptionist cast an odd glance toward me, and some net users stared ) and looked at my hands.",0,1,0,0,0
eng_train_track_a_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_a_00248,First college room mate ever.,0,0,1,0,1
eng_train_track_a_00254,"I want to learn about you, communicate with you.",0,0,1,0,0
eng_train_track_a_00261,"My hands are usually cool, and I defend them, spouting `` Cold hands, warm heart! ''",0,0,1,0,0
eng_train_track_a_00277,"I had an ant crawling on my elbow just now, and I flicked him off.",0,1,0,0,0
eng_train_track_a_00279,She commented on everything that went into my mouth.,1,0,0,0,0
eng_train_track_a_00280,I felt a gun pressed against my forehead and looked up.,0,1,0,0,1
eng_train_track_a_00289,"So many people from my family have seen someone in the reflection, always in the same place, matching the same description.",0,1,0,0,1
eng_train_track_a_00301,"Once we got them all back into the room, one little girl ( the youngest of this group ) roughly pushed a little boy who was standing near me ( I was sitting with my legs blocking the doorway ) into the door jamb in her attempt to get out.",0,1,0,0,1
eng_train_track_a_00325,"So, I am from a science background and analyze everything skeptically.",0,0,0,0,0
eng_train_track_a_00333,I was still naked.,0,1,0,0,1
eng_train_track_a_00337,It was very weird.,0,1,0,0,1
eng_train_track_a_00345,"I also remember the chandelier campfires, and it was what inspired me for almost a year to tape pieces of mirror under my eyes so I could pretend I was walking on the ceilings ( though I always got a bit freaked out when I walked outside ).",0,1,0,0,0
eng_train_track_a_00348,That's pretty creepy.,0,1,0,0,1
eng_train_track_a_00369,"In order to buy food at the festival, you have to go to a tent and buy food tickets.",0,0,0,0,0
eng_train_track_a_00372,My friend set me up on a blind date with this woman.,0,1,1,0,1
eng_train_track_a_00419,I was so eager and excited to leave to the point I had butterflies in my stomach.,0,0,1,0,0
eng_train_track_a_00431,"We all decided to calm down, we thought that it was probably something when your phone activates something, thats all.",0,1,0,0,1
eng_train_track_a_00440,"*With a screech, the green witch snatched her broom and flew out her window.",0,1,0,0,1
eng_train_track_a_00442,"Not a great first impression, but we brush it off.",1,0,1,0,0
eng_train_track_a_00444,He ran outside with it to find this man at the bottom of our driveway.,0,1,0,0,1
eng_train_track_a_00457,at first was okay when i let my sleeve down during duty was like so freaking warm inside my hand please.,0,0,1,0,0
eng_train_track_a_00458,"Vomit lots, and lots.",0,1,0,0,0
eng_train_track_a_00478,A smile spread across my face.,0,0,1,0,0
eng_train_track_a_00494,"I can see you, I can see you, I can see you.",0,1,0,0,1
eng_train_track_a_00495,"I squeeze my eyes shut to stop the replaying of frames I've just witnessed, tighten my legs, and point my toes which I always do when I want to come.",0,1,0,0,0
eng_train_track_a_00506,"It felt good in my hands, it felt RIGHT.",0,0,1,0,0
eng_train_track_a_00526,"And through all this, she smiled and was positive and still views it as a perfect day.",0,0,1,0,0
eng_train_track_a_00527,I rolled my eyes.,1,0,0,0,0
eng_train_track_a_00561,The parallel universe answering machine:,0,0,0,0,1
eng_train_track_a_00564,Called it right away.,0,0,0,0,0
eng_train_track_a_00567,"It is a huge property with an 1850's settlement house, large interpretive/nature center, replica native american village, and about 100 acres of old growth oak forrest with hiking trails.",0,0,1,0,1
eng_train_track_a_00573,"We paid $269 for our standby tickets, and one first-class seat was about $11,000.",1,0,0,0,1
eng_train_track_a_00577,"Our G-mail accounts are one letter apart, mine having an ""L"" in the middle for my middle initial.",0,0,1,0,1
eng_train_track_a_00587,In the eastern States right up to my neck of the woods in Canada.,0,0,0,0,0
eng_train_track_a_00590,"Pauly and I went over to the PokerStars party and I downed some pork tenderloin, caesar salad, and tortellini with pesto sauce along with one Bahama Mama ( a tasty pink rum concoction ) to settle my nerves.",0,1,1,0,0
eng_train_track_a_00617,"and then i feel my heart join in the fun, crazy racing rabbit shit.",0,0,1,0,0
eng_train_track_a_00624,"And I said, `` Hey wait a second, one of the songs titles sounds familiar... `` AFTER MONTHS OF WRACKING MY BRAIN, I HAVE THE TITLE AND SONG ITSELF.",0,0,1,0,1
eng_train_track_a_00632,"Now the sunshine is out and bright against my right side of my face, just like it was after I had my hair done.",0,0,1,0,0
eng_train_track_a_00636,I had a really nice boss and a kush part-time accounting job during college.,0,0,1,0,0
