id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00005,Then the screaming started.,0,1,0,1,1
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,1,0,0,1
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0
eng_train_track_a_00067,"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",0,1,0,0,0
eng_train_track_a_00068,The effect was a feeling I've described as running my hand along a cheese grater.,0,1,0,1,0
eng_train_track_a_00097,"Slowly sliding down towards the floor, not having the strength to stay up on my feet any longer, hearing the words `` It's time '' and thinking please no.",0,1,0,1,0
eng_train_track_a_00100,"Thankfully, he doesn't really hold grudges, so I think every day starts with a clean slate... Of course, like a normal human being, he has his limit, which I am trying REALLY REALLY hard to avoid reaching.Also, my throat is dry and hurting because I slept with my mouth wide open last night, and the two times I napped at the boy's house, I slept with it open, again.",0,1,0,0,0
eng_train_track_a_00102,The silence cupped my ears where it was all I could see and hear.,0,1,0,1,0
eng_train_track_a_00110,I got a little burn on my finger and it ticked me off.,1,1,0,1,0
eng_train_track_a_00145,"What came out of my mouth was: ""Because white reigns supreme.",1,1,0,1,1
eng_train_track_a_00147,as i go to take the hook out of my 4th fish... it shakes and embeds the hook in my hand.,1,1,0,1,1
eng_train_track_a_00162,"I fell out of a tree earlier today, and landed on my head after about an eight foot drop onto concrete.",0,1,0,1,1
eng_train_track_a_00164,I wish I had.,0,0,0,1,0
eng_train_track_a_00167,she was very wrong.,1,0,0,0,0
eng_train_track_a_00169,My back is jacked up again.,1,1,0,1,0
eng_train_track_a_00172,"In silence, I prayed and searched my heart....",0,1,0,1,0
eng_train_track_a_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,1,0,0
eng_train_track_a_00181,"It looked like there was a golfball on the side of my knee... a purple, blueish golfball.",0,1,0,1,0
eng_train_track_a_00188,My hand hurt so bad afterwards.,0,1,0,0,0
eng_train_track_a_00194,"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,1,0
eng_train_track_a_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_a_00211,My brain stops and then I feel like conking out.,0,1,0,1,0
eng_train_track_a_00215,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",1,1,0,1,0
eng_train_track_a_00217,"Last night I walked into my room ( without turning on the light switch ) and tripped over a laundry basket, and fell on my face.",0,1,0,1,1
eng_train_track_a_00224,I know last time I did this I hurt my back a little but I never learn I'm hard headed I wanted to burn up some more calories.,0,1,0,0,0
eng_train_track_a_00229,Apparently the aftermath of the clogged toilet was pretty gruesome.,0,1,0,0,1
eng_train_track_a_00250,"My head poked out of the grass again, catching sight of the men nearing my position, only about fifteen yards.",0,1,0,1,0
eng_train_track_a_00258,"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",0,0,0,1,0
eng_train_track_a_00259,"I'm very very pale, and any bandages like that stick out like a dark brown blemish.",0,1,0,1,0
eng_train_track_a_00282,I run to grab my friend only to see him dancing with another asian girl.,1,0,0,1,1
eng_train_track_a_00297,"X-rays do not show soft tissue damage, and I knew my bones were fine.",0,0,0,0,0
eng_train_track_a_00315,I can't bend or twist my head and no lifting anything over 10 pounds.,0,1,0,1,0
eng_train_track_a_00318,"after the half day practice on wednesday, my arms were literally black and blue!",0,1,0,1,0
eng_train_track_a_00322,"My ankles were cuffed together, and then pulled over my head and secured to the bottom of the fence as well, catching my heels in the chain link fence.",1,1,0,1,0
eng_train_track_a_00347,I was walking next to the truck on one of those raised cement curb bumpers when my ankle folded in half.,0,1,0,1,0
eng_train_track_a_00355,"My shoulder ached but moved all right, and I felt a tightness on my neck.",0,1,0,0,0
eng_train_track_a_00356,"I keep looking around me, and it seems each time I do, I find more blessings, that have become long lost answers, spread over the forgotten wishes of my heart.",0,0,1,0,0
eng_train_track_a_00364,My brain's been cooking up too many ideas that I can't even write out for future references.,0,1,0,0,0
eng_train_track_a_00368,The asphalt was so hot it had burned the balls of my feet to the point of blistering from standing on it.,1,1,0,0,0
eng_train_track_a_00374,And probably murder me.,0,1,0,0,0
eng_train_track_a_00380,Grief does funny things.,0,1,0,1,1
eng_train_track_a_00382,I put my hands over my face and went back into my room.,0,1,0,1,0
eng_train_track_a_00390,That was 21 years ago.,0,0,0,1,0
eng_train_track_a_00394,So I go to the doctor and I tell him about getting the sharp pain in my back and how that hasn't gone away and how my hand is numb.,0,1,0,0,0
eng_train_track_a_00400,"And all of the other daily dramas that are taking up the forefront of my mind -- jobs and friends and family and bills and snow and more about the jobs -- all of these things are nothing to my heart, which just keeps on beating, keeps on doing its job.",0,0,0,0,0
eng_train_track_a_00410,"Nobody had lived there in a very, very long time.",0,1,0,1,1
eng_train_track_a_00421,I was horribly mistaken.,0,1,0,1,1
eng_train_track_a_00451,"My knees put an end to that pretty quickly, but not bad for the first time.",0,0,1,0,0
eng_train_track_a_00460,What didn't feel great was my throat and lungs.,0,1,0,1,0
eng_train_track_a_00461,"When she decided it was time to go back to my stall, I didn't want to leave and I pretended I didn't know she was asking me to pick up my head.",0,1,0,1,0
eng_train_track_a_00463,He was my dad.,0,0,0,1,0
eng_train_track_a_00473,"My mouth gets dry, I feel like I'm not breathing, my heart is beating too fast, and then my legs start spasming ( shaking just doesn't seem to be the right word ).",0,1,0,0,0
eng_train_track_a_00479,"If your family gets sick, please leave your door open.",0,1,0,0,0
eng_train_track_a_00488,"No footprints in the snow, no houses, nothing.",0,1,0,1,1
eng_train_track_a_00489,I couldn't put my finger on it.,0,1,0,0,1
eng_train_track_a_00511,It was drug related.,0,1,0,1,0
eng_train_track_a_00518,My throat hurts!,0,1,0,0,0
eng_train_track_a_00525,"It cost us a lot of energy and strength, and my palms still hurt from dragging the damn suitcase, I limp when I walk from all the running and exhaustion $ but I'm home.",0,1,0,1,0
eng_train_track_a_00536,"I was aghast but attempted to help her, so as not to tear the dress or hurt my arms.",0,1,0,0,0
eng_train_track_a_00539,I stopped and picked up handfuls of it and tried to pack it together into a ball but it fell out of my hands like dust.,0,1,0,1,0
eng_train_track_a_00547,I hollered but nobody came to see it.,1,1,0,1,1
eng_train_track_a_00550,"Exactly a year ago i remember sitting at home on my laptop, talking to adam and whoever else, it wasnt quit as cold as it has been lately and i remember having a huge smile on my face.",0,0,1,1,0
eng_train_track_a_00552,"There was years of ""stuff"" in the house.",0,0,0,1,1
eng_train_track_a_00554,"Now I'm awake, the knot is gone but my muscles are sore and I still have to make a conscious effort to relax or the pain comes back a little.",0,1,0,0,0
eng_train_track_a_00570,My sleepy head forced me to sleep and my eyelids felt very heavy that I had to surrender and doze off.,0,0,0,0,0
eng_train_track_a_00581,"The hand returned, a welcoming gesture, an unwelcome sensation.",1,1,0,1,1
eng_train_track_a_00585,My brain is like mush.,0,1,0,1,0
eng_train_track_a_00588,So it's been hanging over my head.,0,1,0,1,1
eng_train_track_a_00594,"I've never seen my mom drunk before, never since.",0,1,0,1,1
eng_train_track_a_00598,"Needless to say, we were gone that day.",0,1,0,0,1
eng_train_track_a_00608,"( my foot, i think, had stopped bleeding for the most part by now. )",0,1,0,0,0
eng_train_track_a_00622,"But here I am sitting at my computer at work, when I begin to relive the whole episode over in my head.",0,1,0,1,0
eng_train_track_a_00657,"When I was raised, my parents had a strict religious work ethic.",0,0,0,1,0
eng_train_track_a_00673,Until then I'm just a ghost in the shadows... A very odd ghost that knows her throwaway,0,1,0,1,1
eng_train_track_a_00677,"some days its like there is a fog sitting on top of my brain, and i can't seem to get rid of it.",0,1,0,1,0
eng_train_track_a_00695,and it constantly feels like thoughts are racing through my head.,0,1,0,1,0
eng_train_track_a_00696,Sadly we have yet to act on this brilliant plan.,0,0,0,1,0
eng_train_track_a_00701,I honestly didnt know how to handle this.,0,1,0,1,0
eng_train_track_a_00717,Then she told me it might be due to the new birth control pills she started soon after I left.,0,1,0,1,1
eng_train_track_a_00721,"Just Women I occasionally went out with, but, never anything serious.",0,0,0,1,0
eng_train_track_a_00722,It became second nature to just put my toys up against eachother so they could protect me as I slept.,0,1,0,1,0
eng_train_track_a_00741,but my eyes didn't seem to shut.,0,1,0,1,0
eng_train_track_a_00750,"Bella, I'm so happy that you're home. I smiled as tears slid down my cheeks.",0,0,1,0,0
eng_train_track_a_00752,I'm going to write now that my fingers are numb from typing this all.,0,1,0,0,0
eng_train_track_a_00770,I stuck out my legs to try and land the fall but one let got stuck on the side of the bike and the other got flipped underneath me and I landed on my right knee then skidded for about 8 feet.,1,1,0,1,1
eng_train_track_a_00783,One season they were really nasty and management seemed to not care when we brought it to their attention.,1,0,0,1,0
eng_train_track_a_00795,"When my back hit the far wall, and the shovel against the wall fell on the dirt, I screamed.",0,1,0,1,1
eng_train_track_a_00807,"But alas the humidity ruined it for us both after only 2 songs > > sigh < < Still I basically had one obvious wet spot the entire shift, which I didn't bother to do anything about other than flash to the entire club from stage by doing the splits on my back about 10 times over the course of the day.",0,0,1,1,0
eng_train_track_a_00816,i need to let what im feeling right now out before the hole in my chest is getting deeper.,0,1,0,1,0
eng_train_track_a_00820,My cheeks burned with fever.,0,1,0,0,0
eng_train_track_a_00823,"Went to my favorite bar, I'd told everyone I was going to be there during the week before and no-one turned up.",1,0,0,1,1
eng_train_track_a_00849,"Pooi Kit was driving recklessly and almost caused a major fatal accident, I can still remember the tailgate lights of the truck passing in front of my eyes and screeching sounds of the brakes.",1,1,0,0,1
eng_train_track_a_00851,We were powerless against what happened that night.,0,1,0,1,1
eng_train_track_a_00858,It never came up.,0,0,0,0,1
eng_train_track_a_00860,"When it was my turn to play, I was mortified to find out I had to move my hand up and down in a sawing motion.",0,1,0,0,0
eng_train_track_a_00868,"However, deep inside my heart, I really want to go back to my hometown.",0,0,0,1,0
eng_train_track_a_00869,I still can't figure it out.,0,1,0,1,1
eng_train_track_a_00870,"this probably doesn't actually make much sense at the moment, but my head hurts.",0,1,0,0,0
eng_train_track_a_00877,Probably going to get buried.,0,1,0,1,0
eng_train_track_a_00883,Got caught with a shitload of mary jane.,1,1,0,1,1
eng_train_track_a_00892,Just going in circles.,1,1,0,1,0
eng_train_track_a_00898,"Shivering caused me to tense up, which caused my hips to keep cramping in charlie horse fashion.",0,1,0,1,0
eng_train_track_a_00903,40 minutes of genuinely thinking it's quite possible I may never leave those woods.,0,1,0,1,0
eng_train_track_a_00909,I hope your baby fucking dies.,1,0,0,0,0
eng_train_track_a_00910,"My eyes were open, but I couldn't see in any colors.",0,1,0,1,0
eng_train_track_a_00912,"As I turned to walk out of the alley, a pair of brass knuckles crushed into the side of my face.",1,1,0,0,1
eng_train_track_a_00938,"I know this will get buried, but whatever.",0,0,0,1,0
eng_train_track_a_00948,"The assault ended abruptly, the pistol dropped from my hands and hit the soggy grass with a heavy thump.",1,1,0,1,1
eng_train_track_a_00962,The FUNNIEST Thing I've Seen In AGES Last Chance to See on TVO and ended up with tears streaming down my cheeks because I was laughing so hard.,0,0,1,0,0
eng_train_track_a_00964,"My hand was indeed gone, but new fingers, stubby and underformed, were sprouting from the stub.",0,1,0,1,1
eng_train_track_a_00982,He was convinced that his grandpa was still alive or whatever.,0,1,0,1,1
eng_train_track_a_00984,"It constantly snarled in the fine hairs on the back of my neck and left red marks on my temples when it snapped, sending the steel tips of the rubber band into my face.",1,1,0,0,1
eng_train_track_a_00990,My horror unfurls as it whispers my name $ It eyeballs me and holds my gaze; dread rips through my heart as it screams out.,0,1,0,0,0
eng_train_track_a_01008,it got so bad that in the car on the way home i had to put the air on full blast and put my head down in the car to try to keep it cool so it didn't ich so much.,0,1,0,1,0
eng_train_track_a_01012,"""I don't know I don't know I don't know...""",0,1,0,1,0
eng_train_track_a_01013,took the skin off my knuckles an my hand bleeding like hell but i felt kinda better.,0,1,0,1,0
eng_train_track_a_01035,It also hurts to turn my neck in any direction.,0,1,0,1,0
eng_train_track_a_01055,But not very happy.,0,0,1,1,0
eng_train_track_a_01070,"Needless to say, none of us slept.",0,1,0,1,0
eng_train_track_a_01075,"All-in-all I had a great time, my back didn't kill me, and I felt great after the game was over.",0,0,1,0,0
eng_train_track_a_01079,"half of my heart, pulled out of my chest and sat in front of me, stretched out to a thin quiet man with a buzz cut and old black sweater that smells like clean dirt and cheap beer.",0,0,0,1,0
eng_train_track_a_01081,Now this was even more precious to my heart.,0,0,1,0,0
eng_train_track_a_01104,She refused to go to the doctor.,0,1,0,1,0
eng_train_track_a_01111,"This will probably get buried, but here goes:",0,1,0,0,1
eng_train_track_a_01125,It was up-hill to get to school.....and up-hill again walking back home.,0,1,0,1,0
eng_train_track_a_01134,By the time Tuesday afternoon came my brain was gone.,0,1,0,1,0
eng_train_track_a_01135,here's the problem; i itch so bad i want to rip off my skin.,0,1,0,0,0
eng_train_track_a_01138,"Suddenly another plane was involved, heading for Washington and my heart stopped beating for a few seconds as the implications of what was happening took me to my knees.",0,1,0,1,1
eng_train_track_a_01145,There is so much going threw my head right now it's,0,1,0,0,0
eng_train_track_a_01161,Got tired roaming' and bumming' around,0,0,0,1,0
eng_train_track_a_01167,"Needless to say, the plant died from her residual evil.",1,0,0,0,1
eng_train_track_a_01173,"""I forget, but I never forgive!",1,0,0,0,0
eng_train_track_a_01175,I wish there was some way to know which dreams were going to come true.,0,1,0,1,1
eng_train_track_a_01178,"It was a call from the company whose offer i had accepted, saying that on the medical check up ( i signed the contract before i went on med.check ); my lungs doesn't seem well.",0,1,0,1,0
eng_train_track_a_01183,"Man, I was wrong.",0,0,0,1,1
eng_train_track_a_01184,"Scariest part is when I couldn't move my body, with my conscious aware of everything and not being able to breathe.",0,1,0,1,1
eng_train_track_a_01189,"He happened to be wearing two leather jackets at the time, so the machete only cut halfway through his arm right below the elbow.",0,1,0,1,1
eng_train_track_a_01194,My foot was tingling for sometime afterwards but the pain was mostly gone and there was no more grinding sensation.,0,1,0,0,0
eng_train_track_a_01201,The grip on my wrist tightened and my arm throbbed from the pressure.,1,1,0,0,0
eng_train_track_a_01207,"The whole class turned to look at me and i felt my cheeks flame up a wonderul crimson colour as I tried to bury my head back into my book, i wanted to look back up take one more glimpse at her but I daren't.",0,1,0,1,0
eng_train_track_a_01213,"She staggered backwards, hit her head hard enough on the wall to leave a dent, and slumped down.",0,1,0,1,1
eng_train_track_a_01214,It was a mess.,1,1,0,1,0
eng_train_track_a_01231,She never went through general anesthesia again.,0,1,0,1,0
eng_train_track_a_01233,My face was just not meant to smile.,1,0,0,1,0
eng_train_track_a_01247,We've never met.,0,0,0,0,1
eng_train_track_a_01255,""" We don't have anything that they want, so they told me.",0,1,0,1,1
eng_train_track_a_01257,"Crazy.Anyway, my feet & knees still hurt this morning.",0,1,0,0,0
eng_train_track_a_01272,I remember Pirate Percy.,0,0,1,1,0
eng_train_track_a_01311,It started out like a small ache but as the day progressed it turned into this sharp jabbing pain in my ear.,0,1,0,0,0
eng_train_track_a_01315,We haven't talked about it since.,0,0,0,1,0
eng_train_track_a_01354,You've clearly been to hell and back.,0,1,0,1,0
eng_train_track_a_01359,You don't understand.,1,1,0,0,0
eng_train_track_a_01362,The computer screen is really bright and it hurts my eyes.,0,1,0,0,0
eng_train_track_a_01368,Silence echoed in my head.,0,1,0,1,0
eng_train_track_a_01376,"Bless his heart $ < 3 Warnings: smoking, swearing, ridiculous spacing ( apologies ) I leaned thoughtfully against the brick wall outside of the studio, feeling the cold, rugged material of the stone press against my back through the black military blazer I wore, as I took a drag from my cigarette.",0,0,0,0,0
eng_train_track_a_01386,$2K+ gone right there.,1,1,0,1,1
eng_train_track_a_01403,He pulls out a switchblade and cuts the side of my mouth.,1,1,0,1,0
eng_train_track_a_01413,I remember waiting for him to fall down.,1,1,0,0,0
eng_train_track_a_01422,He was just plain GONE into thin air.,0,1,0,1,1
eng_train_track_a_01449,"One day, we lost all contact.",0,1,0,1,0
eng_train_track_a_01453,The object was shaped funny and broken at an odd fracture.,0,1,0,0,1
eng_train_track_a_01458,I keep trying to keep my head up and not think about it.,0,1,0,1,0
eng_train_track_a_01471,""" The black family behind me looked mortified.",0,1,0,1,1
eng_train_track_a_01476,Comes home later that night to find the money gone.,1,1,0,1,1
