id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00001,"Colorado, middle of nowhere.",0,1,0,0,1
eng_train_track_a_00002,This involved swimming a pretty large lake that was over my head.,0,1,0,0,0
eng_train_track_a_00003,It was one of my most shameful experiences.,0,1,0,1,0
eng_train_track_a_00005,Then the screaming started.,0,1,0,1,1
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_00011,It's his reflection.,0,0,0,0,1
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_00017,That was the last time anyone saw her.,0,1,0,1,0
eng_train_track_a_00019,"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.",1,1,0,0,0
eng_train_track_a_00020,I didn't see any light yet it still seemed to glow.,0,1,0,0,1
eng_train_track_a_00022,Remember the farm-ette?,0,0,1,0,1
eng_train_track_a_00023,I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,1,0,0,0,0
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,1,0,0,1
eng_train_track_a_00027,"She said that I shouldn't do ANYTHING with my finger, not even type.",0,1,0,0,0
eng_train_track_a_00029,Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,1,0,0,0
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,1,0,0
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1
eng_train_track_a_00039,I got lie after lie.,1,1,0,1,0
eng_train_track_a_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0
eng_train_track_a_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,1,0,1,0
eng_train_track_a_00048,"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?",0,1,0,0,1
eng_train_track_a_00051,painted on my face.,0,0,0,0,0
eng_train_track_a_00052,Nothing behind me either.,0,1,0,0,1
eng_train_track_a_00053,It felt so unreal...,0,1,0,0,1
eng_train_track_a_00054,She left the room and went downstairs.,0,0,0,0,0
eng_train_track_a_00055,All of it on top of my head.,0,1,0,0,0
eng_train_track_a_00056,I went into the closet to investigate and found nothing... /chills,0,1,0,0,1
eng_train_track_a_00057,I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,0,1,0,0,0
