id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00016,I remember being scared shitless.,0,1,0,0,0
eng_train_track_a_00030,I expect them to come in the backdoor any second but I hear nothing.,0,1,0,0,1
eng_train_track_a_00031,The rattling in my brain clogs my nose.,0,1,0,1,0
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_a_00059,"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.",0,1,0,1,0
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0
eng_train_track_a_00073,i was walking around cursing the day in my head.,1,1,0,1,0
eng_train_track_a_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0
eng_train_track_a_00088,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0,1,0,1,1
eng_train_track_a_00098,My eyes welled up with tears and my voice cracked.,0,1,0,1,0
eng_train_track_a_00110,I got a little burn on my finger and it ticked me off.,1,1,0,1,0
eng_train_track_a_00115,"as usual, i feel like im carrying too much burdens in my heart.",0,1,0,1,0
eng_train_track_a_00116,"i hate the idea of not making progress, it breaks my heart to see time being wasted away, standing still-i hate the idea that i can not see the world.",1,1,0,1,0
eng_train_track_a_00122,"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,1,0,0,0
eng_train_track_a_00142,My jaw nearly dropped.,0,0,0,0,1
eng_train_track_a_00149,It better not be for my parenting.,1,1,0,0,0
eng_train_track_a_00153,`` My God $ '' `` What's wrong with my arm? '',0,1,0,0,1
eng_train_track_a_00154,Could be wrong though.,0,1,0,0,0
eng_train_track_a_00159,I was scared shitless.,0,1,0,0,1
eng_train_track_a_00167,she was very wrong.,1,0,0,0,0
eng_train_track_a_00168,They seemed quit some distance away from me.,0,1,0,0,0
eng_train_track_a_00178,I remembered back to last week when my neck was really hurting.,0,1,0,1,0
eng_train_track_a_00180,"It was just a knick, but and the blood $ The rain was cold, but my tears were hot against my cheeks.",0,1,0,1,0
eng_train_track_a_00184,& # x 26; nbsp; I folded my arms on the table and rested my head on my hands-but in a few moments there was a lot of tension in my jaw from this positon.,0,1,0,0,0
eng_train_track_a_00188,My hand hurt so bad afterwards.,0,1,0,0,0
eng_train_track_a_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00196,It just... went away.,0,1,0,1,1
eng_train_track_a_00210,The police were trying to calm him down.,0,1,0,0,0
eng_train_track_a_00215,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",1,1,0,1,0
eng_train_track_a_00218,I was completely dumbstruck.,0,0,0,0,1
eng_train_track_a_00230,"Staring down at the device, I felt this cold chill start at the base of my neck and spread throughout my body.",0,1,0,0,1
eng_train_track_a_00232,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,1,0,1,1
eng_train_track_a_00240,I will lose sleep.,0,1,0,1,0
eng_train_track_a_00243,"When they are near me I either scream, or my mind goes blank and I saw whatever pops into my head ( no... seriously, it's kind of sad.",0,1,0,1,0
eng_train_track_a_00252,Telling me I'm going to hell.,1,1,0,1,0
eng_train_track_a_00259,"I'm very very pale, and any bandages like that stick out like a dark brown blemish.",0,1,0,1,0
eng_train_track_a_00269,The house is trashed.,1,1,0,1,0
eng_train_track_a_00272,"The part my grandfather said was broken and would lead to his doom, was broken.",0,1,0,1,1
eng_train_track_a_00273,"We first met hatred was in my eyes, I Didn't want anything to do with you, lies.",1,1,0,1,0
eng_train_track_a_00285,so stop shoving shit down my throat and into my head.,1,1,0,0,0
