id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00005,Then the screaming started.,0,1,0,1,1
eng_train_track_a_00016,I remember being scared shitless.,0,1,0,0,0
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_a_00056,I went into the closet to investigate and found nothing... /chills,0,1,0,0,1
eng_train_track_a_00064,"I did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that I couldn't ignore it any longer.",1,1,0,0,0
eng_train_track_a_00065,It cut through all the fear and anger in my brain.,1,1,0,0,0
eng_train_track_a_00067,"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",0,1,0,0,0
eng_train_track_a_00070,A sharp stinging stripe across the backs of my legs.,0,1,0,1,0
eng_train_track_a_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,1,0,0,0
eng_train_track_a_00088,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0,1,0,1,1
eng_train_track_a_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0
eng_train_track_a_00096,And these were brutal wounds.,1,1,0,1,1
eng_train_track_a_00097,"Slowly sliding down towards the floor, not having the strength to stay up on my feet any longer, hearing the words `` It's time '' and thinking please no.",0,1,0,1,0
eng_train_track_a_00105,The stench hit me first.,0,1,0,0,1
eng_train_track_a_00106,It was the dance of my heart.,0,0,1,0,0
eng_train_track_a_00109,"I feel like my stomach's had a growth spurt, which leaves me aching and sore.",0,1,0,1,0
eng_train_track_a_00129,The nightmares and fear were new and inexplicable.,0,1,0,1,1
eng_train_track_a_00135,Went to a party at a friends house.,0,0,1,0,0
eng_train_track_a_00144,Not creepy but ghostly.,0,1,0,0,1
eng_train_track_a_00161,"As the blood seems to return to my head, I can think clearly and muster the energy to keep going.",0,1,1,0,0
eng_train_track_a_00173,I couldnt walk without tripping over her.,1,1,0,0,0
eng_train_track_a_00178,I remembered back to last week when my neck was really hurting.,0,1,0,1,0
eng_train_track_a_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00197,"It was REALLY nice to feel the sun on my face because the winter blues really are real-for me at least: ) It was Brent's birthday while we were there, and my awesome family throw him a little birthday party ( I was so glad that I didn't have to do a thing )!",0,0,1,0,0
eng_train_track_a_00202,"Not moving, not menacing.",0,1,0,0,0
eng_train_track_a_00203,The first thought that came into my head was that I needed to go to work as soon as possible.,0,1,0,0,0
eng_train_track_a_00210,The police were trying to calm him down.,0,1,0,0,0
eng_train_track_a_00211,My brain stops and then I feel like conking out.,0,1,0,1,0
eng_train_track_a_00215,"I pull the trigger, feel the recoil in my hand along with the professionally, almost muted sound and watch him shudder and then go limp against me.",1,1,0,1,0
eng_train_track_a_00223,I had a lump in my throat several times.,0,1,0,1,0
eng_train_track_a_00228,Coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car.,0,1,0,0,1
eng_train_track_a_00238,My heart starts pounding as my eyes scroll up the dress and it was Scarlett.,0,1,0,0,1
eng_train_track_a_00240,I will lose sleep.,0,1,0,1,0
eng_train_track_a_00244,For dessert and coffee we went to another cafe down the street.,0,0,1,0,0
eng_train_track_a_00248,First college room mate ever.,0,0,1,0,1
eng_train_track_a_00262,"There were dozens of us, crying, screaming, or in shock.",0,1,0,1,1
eng_train_track_a_00303,I tried to fight but I received a strong hit on my back of the head and everything around became so dark.,1,1,0,1,1
eng_train_track_a_00307,"I had no strength to reach for it, although I craved for it-since the hot water stopped flushing my skin, I felt icy needles and blades of cold air attacking my skin.",0,1,0,1,0
eng_train_track_a_00310,"My limbs wouldn't move properly then, nothingness.",0,1,0,1,0
eng_train_track_a_00312,He ended up skidding down the bark and scraping raw the insides of his thighs.,0,1,0,1,1
eng_train_track_a_00319,"I tried my best to keep my revulsion hidden, for things like that tend to turn my stomach, especially when the vendors claim that it is art.",0,1,0,1,0
eng_train_track_a_00327,"I tried to punch him, but my arms were tied behind my back.",1,1,0,0,0
eng_train_track_a_00334,"Additionally, there was snow on the ground outside, but we found no footprints around the house and no mud or water in the kitchen where the intruder had been walking.",0,1,0,0,1
eng_train_track_a_00368,The asphalt was so hot it had burned the balls of my feet to the point of blistering from standing on it.,1,1,0,0,0
eng_train_track_a_00374,And probably murder me.,0,1,0,0,0
eng_train_track_a_00384,"That was a 16 hour day, 19 for most people, except I pulled a muscle in my back and couldn't move without being in excruciating pain.",0,1,0,1,0
eng_train_track_a_00388,"With this holy oath I set my foot upon the path, the Druid's Way, and I vow to make my dedication plain.",0,0,1,0,0
eng_train_track_a_00394,So I go to the doctor and I tell him about getting the sharp pain in my back and how that hasn't gone away and how my hand is numb.,0,1,0,0,0
eng_train_track_a_00396,The children felt like they were being told telepathically that there was great danger ahead.,0,1,0,0,1
eng_train_track_a_00421,I was horribly mistaken.,0,1,0,1,1
eng_train_track_a_00422,He looked completely lost.,0,1,0,1,0
eng_train_track_a_00427,"Several bees had managed to penetrate right through the gloves, but I know there must have been more since I think I must have put my hands right into the top of the nest.I tried some vinegar to ease the pain: no luck.",0,1,0,0,0
eng_train_track_a_00429,Totally creeped me out.,0,1,0,0,1
eng_train_track_a_00437,My hand shook on the trigger as the sight of my rifle fell upon my enemy.,0,1,0,0,0
eng_train_track_a_00440,"*With a screech, the green witch snatched her broom and flew out her window.",0,1,0,0,1
eng_train_track_a_00446,I couldn't stop crying.,0,1,0,1,0
eng_train_track_a_00447,By the time we left bloomingdales I could have collapsed but I genuinely think I was numb from the horrific pain in my feet.,0,1,0,1,0
eng_train_track_a_00462,"I heard and felt my rib give where it was recently cracked, and I'm pretty certain it cracked again.",0,1,0,1,0
eng_train_track_a_00470,"My latest conquest, so proud they'd be.",0,0,1,0,0
eng_train_track_a_00478,A smile spread across my face.,0,0,1,0,0
eng_train_track_a_00486,I would then freeze with fear.,0,1,0,0,0
eng_train_track_a_00498,"2 minutes later, I hear sobbing coming from the toilet.",0,1,0,1,0
eng_train_track_a_00499,"The feeling in my stomach, I can not bear.",0,1,0,1,0
eng_train_track_a_00518,My throat hurts!,0,1,0,0,0
eng_train_track_a_00526,"And through all this, she smiled and was positive and still views it as a perfect day.",0,0,1,0,0
eng_train_track_a_00527,I rolled my eyes.,1,0,0,0,0
eng_train_track_a_00541,I could feel it running along my neck until it reached my shirt and soaked in.,0,1,0,0,0
eng_train_track_a_00556,We headed north on a sunny Saturday morning in what has become our standard mode of travel-Todd with the steering wheel in one hand and a cup of coffee in the other; me with my nose buried in a book.,0,0,1,0,0
eng_train_track_a_00563,"The file it was supposed to play became completely corrupt, and I had a very strange nightmare.",0,1,0,1,1
