id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_00011,It's his reflection.,0,0,0,0,1
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_a_00032,I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,0,0,1,0,0
eng_train_track_a_00035,Sets the power/entity free.,0,1,1,0,1
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0
eng_train_track_a_00069,asked a flustered girl that bumped into my arm.,0,1,0,0,0
eng_train_track_a_00074,I shook my head and willed every broken hearted thought to go away.,0,0,0,1,0
eng_train_track_a_00078,`` I went to put my hand in my pockets and realised what they'd done.,0,1,0,0,0
eng_train_track_a_00108,I thought it was a joke.,0,1,0,0,1
eng_train_track_a_00120,Then the cop shows up.,0,1,0,0,1
eng_train_track_a_00134,We are earths last hope against extinction.,0,1,0,1,1
eng_train_track_a_00142,My jaw nearly dropped.,0,0,0,0,1
eng_train_track_a_00143,"After i wash my face and brush my teeth, i go out from the kitchen and found that, someone sleep on my place, using my blanket and also pillow.",0,1,0,0,1
eng_train_track_a_00165,"the next thing i knew, i felt this huge impact on my head, and then a few more after that.",0,1,0,0,1
eng_train_track_a_00166,"I turn around, hoping my back hid part of my drawing and look down at the paper in front of Ryutaro, my hand only inches away from his and start to explain the directions a little clearer to him.",0,0,0,0,0
eng_train_track_a_00167,she was very wrong.,1,0,0,0,0
eng_train_track_a_00171,As he approached the edge of it he took to prep hops.,0,1,0,0,1
eng_train_track_a_00172,"In silence, I prayed and searched my heart....",0,1,0,1,0
eng_train_track_a_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,1,0,0
eng_train_track_a_00185,My pride hurt worse than my leg did.,1,0,0,1,0
eng_train_track_a_00194,"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,1,0
eng_train_track_a_00206,"i play it over and over in my head, word for word.",0,1,0,1,0
eng_train_track_a_00209,My ex-boyfriend was just a horrible liar.,1,0,0,1,0
eng_train_track_a_00212,Your son is not liking the strap around my belly. '',0,1,0,0,0
eng_train_track_a_00218,I was completely dumbstruck.,0,0,0,0,1
eng_train_track_a_00246,"my head looked up automatically, and the first person out of the others out there, i saw him.",0,1,0,0,1
eng_train_track_a_00253,Only in my foot.,0,0,0,0,0
eng_train_track_a_00255,"I'd just started a new character on a different world than I usually play on, then this guy wants to join my party...",0,1,1,0,1
eng_train_track_a_00258,"I didn't notice either that I was still sitting on the floor, the rug pattern branded on my knees.",0,0,0,1,0
eng_train_track_a_00281,Threw my underwear away in their kitchen garbage.,0,1,0,0,1
eng_train_track_a_00289,"So many people from my family have seen someone in the reflection, always in the same place, matching the same description.",0,1,0,0,1
eng_train_track_a_00297,"X-rays do not show soft tissue damage, and I knew my bones were fine.",0,0,0,0,0
eng_train_track_a_00299,") This event happened after the war, but before the wall went up.",0,0,0,0,1
eng_train_track_a_00318,"after the half day practice on wednesday, my arms were literally black and blue!",0,1,0,1,0
eng_train_track_a_00328,"Middle school, the entire 8th grade class had to do this thing called a ""cultural fair"" where we research our lineage/cultural roots, and present it after school at night for all families to see.",0,1,1,0,0
eng_train_track_a_00346,I closed my eyes and more tears glided down my cheeks.,0,0,0,1,0
eng_train_track_a_00357,"Is it too hard to forget someone from the past, i wish i could, but its very hard, I think my heart is too big and i have to much room.",0,0,0,1,0
eng_train_track_a_00372,My friend set me up on a blind date with this woman.,0,1,1,0,1
eng_train_track_a_00380,Grief does funny things.,0,1,0,1,1
eng_train_track_a_00409,more funny than creepy being on this side of the story:,0,1,1,0,1
eng_train_track_a_00410,"Nobody had lived there in a very, very long time.",0,1,0,1,1
eng_train_track_a_00423,"I cleaned naked, I cooked naked, I ate naked, I drove him around naked, I waited in the car naked.",0,1,0,0,1
eng_train_track_a_00428,Barbell Rows 6 x 4 x 185 # The SSB absolutely tore up my back.,0,0,0,1,0
eng_train_track_a_00434,"Once that whole thing was all over and done with, my nose began to tickle uncontrollably.",0,0,0,0,0
eng_train_track_a_00458,"Vomit lots, and lots.",0,1,0,0,0
eng_train_track_a_00471,My heart shattered into a million little pieces.,0,0,0,1,0
eng_train_track_a_00474,"it ended quickly, amidst lots of petty jealousy.",1,0,0,1,0
eng_train_track_a_00475,"When they got back I was slumped on the couch with my back to the door, playing on a laptop.",0,0,0,0,0
eng_train_track_a_00494,"I can see you, I can see you, I can see you.",0,1,0,0,1
eng_train_track_a_00495,"I squeeze my eyes shut to stop the replaying of frames I've just witnessed, tighten my legs, and point my toes which I always do when I want to come.",0,1,0,0,0
eng_train_track_a_00496,"I looked down at my feet, and saw that the waves had kicked up some of her trash.",0,0,0,0,0
eng_train_track_a_00507,"But she doesn't know how much I ache whenever she touches me with those hands, those eyes, those lips, that ache that connects my heart, my gut, and my cunt in one fell swoop.",1,0,0,1,0
eng_train_track_a_00512,I will never forget that night.,0,1,0,1,1
eng_train_track_a_00516,"I sensed, and then saw four short (about 3 feet tall), gray-colored 'beings' with large dark eyes next to my side of the bed (on my left).",0,1,0,0,1
eng_train_track_a_00517,I was wearing 45spf sunscreen and I still got some colour on my forearms.,0,1,0,0,0
eng_train_track_a_00521,I raised my eyebrows suspiciously.,0,1,0,0,0
eng_train_track_a_00531,My feet were pretty sore and I was complaining about how I wish I could sit down.,0,1,0,1,0
eng_train_track_a_00532,My heart immediately hurt.,0,1,0,1,0
eng_train_track_a_00551,"I think I watched the last 20 laps holding my breath, and the last ten with my hands over my eyes.",0,1,0,0,0
eng_train_track_a_00570,My sleepy head forced me to sleep and my eyelids felt very heavy that I had to surrender and doze off.,0,0,0,0,0
eng_train_track_a_00574,"Then, we issued the first strike.",1,1,0,0,0
eng_train_track_a_00576,Immediately I regretted leaving behind my sunglasses as my eyes switched to squint mode to protect themselves.,0,1,0,0,0
eng_train_track_a_00593,I never close my eyes.,0,1,0,1,0
eng_train_track_a_00599,"All on my lonesome, thanks for all the encouragement, it was worth it, I went on Wednesday morning and it still hurts to sit down / raise my arms / move, but especially my triceps.",0,0,0,1,0
eng_train_track_a_00606,"Its like a dream, flying through my head.",0,0,1,0,0
eng_train_track_a_00610,"but, within seconds i regained myself and pulled off the rings on my fingers and went after the manic destroying all perceptions of herself.",1,0,0,0,0
eng_train_track_a_00627,"Warm, salty tears slowly rolled down my face and made my goggles wet.",0,0,0,1,0
eng_train_track_a_00630,"Leaning my head back into the basin, I close my eyes and as the young girl behind me streams hot water through my hair, I feel the jangling tension slowly subsiding inside my body.",0,0,1,0,0
eng_train_track_a_00635,This will probably get buried but...,0,1,0,1,0
eng_train_track_a_00641,There was chinchilla poop *everywhere*.,1,1,0,0,1
eng_train_track_a_00643,After about 30 seconds something in my brain clicked and seemed to indicate to me that my front door does not in fact open by pushing the button repeatedly on my car's key less entry thingie.,0,0,1,0,1
eng_train_track_a_00647,I guess my eyebrows were missing each other and needed to grow closer... and so they were really trying to get super close.,0,0,1,0,0
eng_train_track_a_00650,"I have another drink, punch his number into my phone and rest my thumb on the call button.",0,1,0,0,0
eng_train_track_a_00668,I don't need this job and you know it.,1,0,0,0,0
eng_train_track_a_00688,I really need it for my face as I'm getting a little wind burn.,0,0,0,0,0
eng_train_track_a_00712,It was deleted without any human interaction.,1,0,0,0,1
eng_train_track_a_00718,My Spanish language skills were fairly basic.,0,1,0,0,0
eng_train_track_a_00724,The treatment for my original complaint consisted of some chiropractic manipulation of my hip and pressure onto certain nerves ( which was painful but better afterwards ) and then a marvellous half an hour of lying still with aromatic herbs massaged into my lower back and an assortment of needles inserted at strategic points.,0,0,1,0,0
eng_train_track_a_00769,My sister made us leave quickly and go to our neighbors house.,0,1,0,0,0
eng_train_track_a_00777,BUT OH GOD MY NAILS ARE BLACK CALL A PRIEST.,0,1,0,0,1
eng_train_track_a_00782,A very similar story happened to my grandmother.,0,0,0,0,1
eng_train_track_a_00786,The chupacabra legend is pretty big here and in Mexico.,0,1,0,0,1
