id,text,anger,fear,joy,sadness,surprise
eng_train_track_a_00008,My stomach even started giving me fits.,0,1,0,1,0
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_a_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,1,0,1,0
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0
eng_train_track_a_00051,painted on my face.,0,0,0,0,0
eng_train_track_a_00055,All of it on top of my head.,0,1,0,0,0
eng_train_track_a_00057,I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,0,1,0,0,0
eng_train_track_a_00061,' I chanted in my head.,0,0,0,0,0
eng_train_track_a_00082,I always like to head out into the boonies after I have been away for a long time... to get my head straight.,0,0,1,0,0
eng_train_track_a_00083,Sage grabbed my toothbrush this morning and showed me how to brush my teeth.,0,0,0,0,0
eng_train_track_a_00084,"I trust this man even less than the woman, but I can't put my finger on it.",0,1,0,0,0
eng_train_track_a_00090,"I filled it out and tried to stay calm, but my legs were still shaking!",0,1,0,0,0
eng_train_track_a_00098,My eyes welled up with tears and my voice cracked.,0,1,0,1,0
eng_train_track_a_00100,"Thankfully, he doesn't really hold grudges, so I think every day starts with a clean slate... Of course, like a normal human being, he has his limit, which I am trying REALLY REALLY hard to avoid reaching.Also, my throat is dry and hurting because I slept with my mouth wide open last night, and the two times I napped at the boy's house, I slept with it open, again.",0,1,0,0,0
eng_train_track_a_00109,"I feel like my stomach's had a growth spurt, which leaves me aching and sore.",0,1,0,1,0
eng_train_track_a_00119,and throw my hands in the air.,0,0,1,0,0
eng_train_track_a_00122,"I fumbled my way toward the light, and my fingers closed around the doorknob.",0,1,0,0,0
eng_train_track_a_00152,"Most mornings I drift in and out, slowly shaking off the fuddle of sleep but yesterday I was right there with my eyes wide open and the clock saying eight.",0,0,1,0,0
eng_train_track_a_00158,My mouth by then like cardboard.,0,0,0,0,0
eng_train_track_a_00175,"I could hardly believe that after all this time, after so many seasons spent reaping despair, he was finally here, in my arms.",0,0,1,0,0
eng_train_track_a_00188,My hand hurt so bad afterwards.,0,1,0,0,0
eng_train_track_a_00192,"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
eng_train_track_a_00194,"Let me put it this way: I burned so much as a kid that my nose is permanently red.I look back on all of this skin damage, and wish I could go back to my old self and do some kind of scared straight intervention.",0,0,0,1,0
eng_train_track_a_00265,I stopped a couple times to stretch out my calves and quads.,0,0,0,0,0
eng_train_track_a_00273,"We first met hatred was in my eyes, I Didn't want anything to do with you, lies.",1,1,0,1,0
eng_train_track_a_00287,"Despite my anxiety, You were there with me, Diligently working in my heart, Stripping me of all of my pretense, Scourging me of all of my arrogance, Revealing each of my self-serving ways, Which have made my life a wasteland.",0,1,1,1,0
eng_train_track_a_00304,"My eyes are half-closed, heavy from the liquor and not sleepin, but still they're watchful of the tender, who they suspect of fueling the glass every time I leave to piss.",0,1,0,0,0
eng_train_track_a_00308,"Still numb.The numbness never left my arm, it was crazy.",0,1,0,1,0
eng_train_track_a_00310,"My limbs wouldn't move properly then, nothingness.",0,1,0,1,0
eng_train_track_a_00315,I can't bend or twist my head and no lifting anything over 10 pounds.,0,1,0,1,0
eng_train_track_a_00317,My heart is aching today.,0,1,0,1,0
eng_train_track_a_00319,"I tried my best to keep my revulsion hidden, for things like that tend to turn my stomach, especially when the vendors claim that it is art.",0,1,0,1,0
eng_train_track_a_00322,"My ankles were cuffed together, and then pulled over my head and secured to the bottom of the fence as well, catching my heels in the chain link fence.",1,1,0,1,0
eng_train_track_a_00327,"I tried to punch him, but my arms were tied behind my back.",1,1,0,0,0
eng_train_track_a_00339,i think its more like i want to write it down so its not trapped inside my head when i die.,0,1,0,1,0
eng_train_track_a_00346,I closed my eyes and more tears glided down my cheeks.,0,0,0,1,0
eng_train_track_a_00352,the blame too easy to place on my shoulders.,1,0,0,1,0
eng_train_track_a_00363,It leaves both my hands free to be able to type.,0,0,1,0,0
eng_train_track_a_00381,"It wasn't easy, I told myself; I was running short of breaths and I believed my face was red and then pale ( or was it the other way round? )",0,1,0,1,0
eng_train_track_a_00382,I put my hands over my face and went back into my room.,0,1,0,1,0
eng_train_track_a_00383,But I really do know it is my heart speaking through me and i am being taken over by the heart and not the mind i feel inspired.,0,0,1,0,0
eng_train_track_a_00400,"And all of the other daily dramas that are taking up the forefront of my mind -- jobs and friends and family and bills and snow and more about the jobs -- all of these things are nothing to my heart, which just keeps on beating, keeps on doing its job.",0,0,0,0,0
eng_train_track_a_00415,I had worked and my hand's still hurt and all kinds of bullshit lazy Cleo reasons for not going out and having fun when I have time.,1,1,0,1,0
eng_train_track_a_00417,there are just 2 small parts that stick out in my head and make me so happy.,0,0,1,0,0
eng_train_track_a_00427,"Several bees had managed to penetrate right through the gloves, but I know there must have been more since I think I must have put my hands right into the top of the nest.I tried some vinegar to ease the pain: no luck.",0,1,0,0,0
eng_train_track_a_00436,"Within a minute my arm had swollen up, it was sore and bruised.",0,1,0,1,0
eng_train_track_a_00438,"I have lots of acquaintances, and a few people that I hang out with on a regular basis, but I still haven't found a friend that I actually like a whole lot, because after maybe a month or four, everyone that I get semi-close to starts to get on my nerves.",1,1,0,0,0
eng_train_track_a_00441,The day was hot and still; the air lay close against my face.,0,0,0,0,0
eng_train_track_a_00453,pounding my fists and screaming to a god that is not there; it's sad there had to be a battle sad i had to loose.,1,1,0,1,0
eng_train_track_a_00469,They wanted to open the Femoral artery in my right leg and insert a long tube up towards my heart.,0,1,0,0,0
eng_train_track_a_00482,"My stomach felt a bit queasy all day yesterday so it was difficult for me to eat a lot, but I managed to have half a banana and a lot of water immediately after the race.",0,1,0,1,0
eng_train_track_a_00493,I'm not sure I really even knew what the movie was about by the time it was done because my nerves were completely shot.,0,1,0,0,0
eng_train_track_a_00495,"I squeeze my eyes shut to stop the replaying of frames I've just witnessed, tighten my legs, and point my toes which I always do when I want to come.",0,1,0,0,0
eng_train_track_a_00506,"It felt good in my hands, it felt RIGHT.",0,0,1,0,0
eng_train_track_a_00519,"My knee was bound in an ace bandage and I could walk without limping, but still.",0,1,0,1,0
eng_train_track_a_00521,I raised my eyebrows suspiciously.,0,1,0,0,0
eng_train_track_a_00525,"It cost us a lot of energy and strength, and my palms still hurt from dragging the damn suitcase, I limp when I walk from all the running and exhaustion $ but I'm home.",0,1,0,1,0
eng_train_track_a_00527,I rolled my eyes.,1,0,0,0,0
eng_train_track_a_00532,My heart immediately hurt.,0,1,0,1,0
eng_train_track_a_00536,"I was aghast but attempted to help her, so as not to tear the dress or hurt my arms.",0,1,0,0,0
eng_train_track_a_00542,"In fact, my early life had so many of these kinds of influences, it's hard to remember them all; various ways and means that taught me to associate the motifs rambling around in my head with eventual written notes on a page.",0,0,0,0,0
eng_train_track_a_00544,"There's all this stuff I got ta do, and all the while there's this constant nagging thought in the back of my head ` should I really be here?",0,1,0,0,0
eng_train_track_a_00549,i had dirt all over my face which was different... I guess but it was cool!,0,0,1,0,0
eng_train_track_a_00550,"Exactly a year ago i remember sitting at home on my laptop, talking to adam and whoever else, it wasnt quit as cold as it has been lately and i remember having a huge smile on my face.",0,0,1,1,0
eng_train_track_a_00569,"My knees remained together throughout, but my clitty kept becoming excited.",0,1,0,0,0
eng_train_track_a_00570,My sleepy head forced me to sleep and my eyelids felt very heavy that I had to surrender and doze off.,0,0,0,0,0
eng_train_track_a_00576,Immediately I regretted leaving behind my sunglasses as my eyes switched to squint mode to protect themselves.,0,1,0,0,0
eng_train_track_a_00593,I never close my eyes.,0,1,0,1,0
eng_train_track_a_00595,"But for this time, I took my heart with me, to indulge myself into the song after I seen Sarah blogging in her post; I can feel what she is feeling.",0,0,1,0,0
eng_train_track_a_00599,"All on my lonesome, thanks for all the encouragement, it was worth it, I went on Wednesday morning and it still hurts to sit down / raise my arms / move, but especially my triceps.",0,0,0,1,0
eng_train_track_a_00608,"( my foot, i think, had stopped bleeding for the most part by now. )",0,1,0,0,0
eng_train_track_a_00619,I try to slow down things.,0,1,0,0,0
eng_train_track_a_00623,"The sun seems brighter on those mornings, head clearer, mind sharper, expertly spreading happiness with my eyes.",0,0,1,0,0
eng_train_track_a_00627,"Warm, salty tears slowly rolled down my face and made my goggles wet.",0,0,0,1,0
eng_train_track_a_00647,I guess my eyebrows were missing each other and needed to grow closer... and so they were really trying to get super close.,0,0,1,0,0
eng_train_track_a_00651,Don't mess with my orange juice.,1,0,0,0,0
eng_train_track_a_00659,"' ( today ) So the story of my grandparents ' illness continues... I'm scorching my tongue on coffee, and my head on looking at the screen.",0,1,0,1,0
eng_train_track_a_00661,I had my eye on the fabric for months.,0,0,1,0,0
eng_train_track_a_00668,I don't need this job and you know it.,1,0,0,0,0
eng_train_track_a_00674,Posted by Melissa at 10:29 AM Atrial Fibrillation Revisit At the end of lunch on Tuesday I felt my heart start racing.,0,1,0,0,0
eng_train_track_a_00688,I really need it for my face as I'm getting a little wind burn.,0,0,0,0,0
eng_train_track_a_00695,and it constantly feels like thoughts are racing through my head.,0,1,0,1,0
eng_train_track_a_00711,I was less sad about missing my birthday though and more sad about missing her.,0,0,0,1,0
eng_train_track_a_00716,"I now wore a 36B bra, and my waist was down to 25 inches, but she insisted.",0,0,0,0,0
eng_train_track_a_00736,"I could have gone inside, explored more, done so much more but I wasn't accustom to this laid back run down place yet, a part of me still watched every car that drove by and looked over my shoulder every few seconds.",0,1,0,1,0
eng_train_track_a_00739,I learned a lot about my teeth during my visit today.,0,0,1,0,0
eng_train_track_a_00740,I fuckin tear up whenever I think about this.,0,1,0,1,0
eng_train_track_a_00741,but my eyes didn't seem to shut.,0,1,0,1,0
eng_train_track_a_00752,I'm going to write now that my fingers are numb from typing this all.,0,1,0,0,0
eng_train_track_a_00754,my neck is reversed.,0,1,0,0,0
eng_train_track_a_00761,"She said she agree with me but didn't know how to leave... To that, I shrugged my shoulders, shit I know how, pack your shit and leave... I mean, you know?",1,0,0,0,0
eng_train_track_a_00767,"sleepless nights are so evident on my face, even a cake of foundation and concealer can not hide = ( massive eyebags and bad tired skin.",0,0,0,1,0
eng_train_track_a_00779,"my head aches, my stomach isn't too happy, my whole body hurts.",0,1,0,1,0
eng_train_track_a_00793,My aunt and I are kind of doing the remedial training together and I can't wait to get on his back.,0,0,0,0,0
eng_train_track_a_00816,i need to let what im feeling right now out before the hole in my chest is getting deeper.,0,1,0,1,0
eng_train_track_a_00826,My arms shook.,0,1,0,0,0
eng_train_track_a_00827,So we went to City Island where i was having my nails done.,0,0,1,0,0
eng_train_track_a_00831,and left my eyes to cry.,0,0,0,1,0
eng_train_track_a_00838,"Hawaiian is my first language, so not too bad considering.",0,0,1,0,0
eng_train_track_a_00839,"After getting all warm, I went and got my nails done.",0,0,1,0,0
eng_train_track_a_00845,"The tears are prickling behind my eyes as I pull my jeans on and race downstairs.I find a pen and paper in the kitchen and in a hasty scrawl, I write out, `` Like I said, I can't do this.Sorry.See you at work.",0,1,0,1,0
eng_train_track_a_00847,"This was my rest week and my legs, and everything else were closed for the day.",0,0,1,0,0
eng_train_track_a_00853,My finger is an asshole.,1,0,0,0,0
eng_train_track_a_00878,A nice way to get some items off my chest.,0,0,1,0,0
eng_train_track_a_00880,"I spent all day at home, sick.",0,1,0,1,0
eng_train_track_a_00884,I had to relax my muscles and clear my mind in order to do that.,0,1,0,0,0
eng_train_track_a_00889,"`` Yeah, im good now, my back has stopped bleeding $.",0,1,0,0,0
eng_train_track_a_00905,My arms start getting numb and achy and no way to lie makes them stop.,0,1,0,1,0
eng_train_track_a_00911,"But I get beyond that tired stage, and can't close my eyes later.",0,1,0,1,0
eng_train_track_a_00915,So anyways it's late at night and I was down in my living room sleeping on my couch.,0,0,0,0,0
eng_train_track_a_00918,At times I was actually having difficulty breathing because the water was in my nose.,0,1,0,0,0
eng_train_track_a_00924,My hands were very cold.,0,1,0,0,0
eng_train_track_a_00930,"So I went ahead and finished it, but it fits my head without quite covering my ears, so even though I started out knitting it for you, it didn't end up working.",0,0,0,0,0
eng_train_track_a_00934,I've never had my cheeks hurt so much from laughing and / or smiling.,0,0,1,0,0
eng_train_track_a_00952,W-WORST HABIT: Not washing my face before I go to bed.,0,0,0,0,0
eng_train_track_a_00954,"I was sitting in the van trying to stay warm, and going over the following day's logistics in my head.",0,1,0,0,0
eng_train_track_a_00970,Today I must do the dreaded studying: ( Blarg.I did a bit last night ( some review ) and it is amazing how quickly this shit leaves my brain after taking 1.5 days off from it.,1,1,0,1,0
eng_train_track_a_00991,"During my first season, I was playing a game on my birthday.",0,0,1,0,0
eng_train_track_a_01013,took the skin off my knuckles an my hand bleeding like hell but i felt kinda better.,0,1,0,1,0
eng_train_track_a_01026,"My whole body was painful today, especially my arms.",0,1,0,1,0
eng_train_track_a_01032,"But, my stomach... oh... my stomach... This bike has been from Taiwan to Vietnam, Cambodia, and Thailand... and several places in Vietnam, not to mention all but the southern tip of Taiwan... Heading north.",0,1,0,0,0
eng_train_track_a_01033,"I swing my foot back, then proceed to apply a good, strong kick to the underside of the table.",1,0,0,0,0
eng_train_track_a_01035,It also hurts to turn my neck in any direction.,0,1,0,1,0
eng_train_track_a_01037,"I have major slip ups, like, letting the wrong person close to my heart and getting burned.",0,1,0,1,0
eng_train_track_a_01048,"My teeth were marred by braces, and I hated the sight of them.",0,0,0,1,0
eng_train_track_a_01068,"It's also on the front of my upper legs, the back of my lower legs, and the tops of my feet.",0,0,0,0,0
eng_train_track_a_01081,Now this was even more precious to my heart.,0,0,1,0,0
eng_train_track_a_01082,That is all in my head I know.,0,1,0,0,0
eng_train_track_a_01087,I know why I got one I have constant allergy symptoms and my head was wet with constant snot.,0,1,0,1,0
eng_train_track_a_01089,"The first one was far enough ahead that it didn't startle me so much.Anyway, for the gruesomely curious, here are some pics of my injuries: My elbow got the worst of it.",1,1,0,1,0
eng_train_track_a_01105,"My hand seemed to tremble more as I took the frail hand offered to me, feeling the protruding veins under my thumb.",0,1,0,1,0
eng_train_track_a_01115,I did as little as possible with my right hand on Sunday and took a long nap with my hand in an elevated and comfortable position Sunday afternoon.,0,0,0,0,0
eng_train_track_a_01120,I have many memories of him sitting across from me and sucking on a pig's foot while I wrinkled my nose in disgust.,0,0,0,0,0
eng_train_track_a_01122,So far in this class my eyes have been opened to the power of writing and the enjoyment it can bring to me.,0,0,1,0,0
eng_train_track_a_01136,and my entire right leg up to my hip was still sleeping.,0,0,0,0,0
eng_train_track_a_01143,Either way I was scared for my life that day...,0,1,0,0,0
eng_train_track_a_01144,"she is so intrusive in my life, I have issues at work.",1,1,0,1,0
eng_train_track_a_01145,There is so much going threw my head right now it's,0,1,0,0,0
eng_train_track_a_01147,"The brace however squeezes my leg flesh out the top and bottom of the brace, and makes my knee cap look like a brain when I straighten my leg, but whatever.",0,0,0,0,0
eng_train_track_a_01172,I smoke weed alone I have a tendency to become hungry.,0,0,1,0,0
eng_train_track_a_01178,"It was a call from the company whose offer i had accepted, saying that on the medical check up ( i signed the contract before i went on med.check ); my lungs doesn't seem well.",0,1,0,1,0
eng_train_track_a_01195,"I was eating and drinking well, my legs felt fresh, and other than a twinge in my achilles tendon, I felt on the ball.",0,0,1,0,0
eng_train_track_a_01200,"Bitch daniel splashed fish water @ my face, lmfao.",1,0,0,0,0
eng_train_track_a_01219,for puttin my heart into it n come out cryin n sad.,0,0,0,1,0
eng_train_track_a_01224,"While we were swimming, I went out where it was almost to my shoulders.",0,1,1,0,0
eng_train_track_a_01225,I still have a blank stare on my face.,0,0,0,0,0
eng_train_track_a_01236,At this point I am confident that my neck could actually heal completely which is unlike how I felt about it previously.,0,0,1,0,0
eng_train_track_a_01239,I was just crying so hard that the tears dripped off my chin and into the sink ).,0,1,0,1,0
eng_train_track_a_01250,"I'm tired of fighting against you Life, I'm tired of getting up and going into work day after day even when I'm sick to my stomach and my head's throbbing.",1,1,0,1,0
eng_train_track_a_01253,Every september I used to get a wicked case due to fluid in my ears caused by allergies.,0,1,0,1,0
eng_train_track_a_01258,"I then started to cry again, with a doll in my arms.",0,0,0,1,0
eng_train_track_a_01264,It was really beautiful but being half asleep I didn't want to wake up anymore and so I kept dozing in and out of sleep watching the sunrise for a few moments before closing my eyes again and drifting off to sleep.,0,0,1,0,0
eng_train_track_a_01274,I shook my head.,0,0,0,0,0
eng_train_track_a_01282,"Not too long after my family left, a guy came in to hook me up to yet another machine briefly to check my breathing which proved to be labored but not dangerously slow ( a nurse came in later a gave me a little toy thing to exercise my lungs which helped a bit ) and another couple guys came in to take an x-ray of my lungs.",0,1,0,0,0
eng_train_track_a_01285,I started smoking there.,0,0,0,0,0
eng_train_track_a_01298,My hands were full.,0,0,0,0,0
eng_train_track_a_01302,"I fell to my knees, my body shaking with the sorrow I held in me since I woke up.",0,0,0,1,0
eng_train_track_a_01309,"`` Well then, by all means, curl my toes. ''",0,0,0,0,0
eng_train_track_a_01310,"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.",0,1,0,1,0
eng_train_track_a_01318,"Now, we just gotta get it home.",0,0,1,0,0
eng_train_track_a_01326,"At this point I am starting to have an anxiety attack, but I keep listening.",0,1,0,0,0
eng_train_track_a_01327,"Today, I ventured to swim class where Reese spent the entire 10 ( to maybe 12 ) minutes we were in the pool softly crying, almost whimpering and licking my shoulder.",0,1,0,1,0
eng_train_track_a_01329,"So I tried to make things as simple as possible, even though it was a pretty fancy wedding (my mom's standards).",0,0,1,0,0
eng_train_track_a_01330,"The Tooth Fairy paid for my teeth in quarters, equivalent to my age in years.",0,0,1,0,0
eng_train_track_a_01331,i oblige and he says something about how i have fluid in my lungs and i need to cough it all out.,0,1,0,0,0
eng_train_track_a_01333,Sometimes I have difficulty feeling my feet-I much prefer the clouds.,0,1,0,0,0
eng_train_track_a_01341,Guys are trying to get in your pants.,1,1,0,0,0
eng_train_track_a_01342,"I stopped laughing, clearing my throat and looking down again.",0,0,0,0,0
eng_train_track_a_01351,"I always had my nose in a book when I was younger, and when I moved up here I lost interest.",0,0,0,1,0
eng_train_track_a_01362,The computer screen is really bright and it hurts my eyes.,0,1,0,0,0
eng_train_track_a_01368,Silence echoed in my head.,0,1,0,1,0
eng_train_track_a_01370,"Clearly, I need to get back on some technical trails and regain my footing there: ) My ankles have been spoiled on the easy pavement this winter!",0,0,1,0,0
eng_train_track_a_01373,I just sat there panting and wiping tears and mucus off my face.,0,1,0,1,0
eng_train_track_a_01380,"To top it all off, my back started to sieze up, possibly due to compensation habits and stress worrying about the issue.",0,1,0,1,0
eng_train_track_a_01383,I sit there with my shotgun and wait.,0,1,0,0,0
eng_train_track_a_01416,I couldn't sleep last night for the adrenaline running through my veins.,0,1,0,0,0
eng_train_track_a_01418,so i just kept nodding my head and smiling.,0,0,1,0,0
eng_train_track_a_01434,I then pushed myself up using my arms.,0,0,0,0,0
eng_train_track_a_01436,Grandmother touches my hand.,0,0,1,0,0
eng_train_track_a_01450,"But for a brief moment, my heart and mind started racing.",0,1,0,0,0
eng_train_track_a_01452,"My jaw was pretty messed up for a month or so (Swollen, couldnt eat without terrible pain.",0,1,0,1,0
eng_train_track_a_01464,"I've tried sewing pants and a skirt for Vivian but both turned out too short, so I'm sending them to Baby G. I burned my fingers four times in two days.",0,1,0,0,0
eng_train_track_a_01484,Mom asked us all to sit down and that's when my heart began to sink.,0,1,0,1,0
eng_train_track_a_01485,"I think I could've laughed my head off that night, except that I had to keep my head in place so I could laugh some more, haha.",0,0,1,0,0
eng_train_track_a_01516,my legs were sore from yesterdays squats.,0,0,0,1,0
eng_train_track_a_01521,"I have obnoxious bug bite on my finger, ugh probably from going on that trail.",0,1,0,0,0
eng_train_track_a_01562,"I found that when I changed my thoughts, it changed my heart.",0,0,1,0,0
eng_train_track_a_01581,echoing cruelly in my ears.,1,1,0,1,0
eng_train_track_a_01587,"I sit up, my head hurts.",0,1,0,1,0
eng_train_track_a_01596,' That infuriated me so much as I was frazzled out of my head so much already.,1,1,0,1,0
eng_train_track_a_01597,"I mentally refused to go there, shaking my head violently in that refusal.",1,1,0,0,0
eng_train_track_a_01626,This was on both sides of my chest.,0,1,0,0,0
eng_train_track_a_01629,"Because I haven't trained for this run at all, my legs gave up on me around 10 miles in.",0,1,0,1,0
eng_train_track_a_01646,"I say, covering my ears with my hands and cringing into the door.",0,1,0,1,0
eng_train_track_a_01647,"xD As of now, I'm getting tired all the time and my belly is getting firm already.",0,1,1,1,0
eng_train_track_a_01668,The second entry of today: / my brain hurt for answering 30 math question in one day.,0,1,0,0,0
eng_train_track_a_01679,"When i was very ill, in great suffering-such pain that even my skin hurt-i gave up.",0,1,0,1,0
